Team,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1
Toronto Raptors,243.7,36.3,81.5,0.446,7.0,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,2013,25.4,34.0,48.0,37,45,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13.0,25.5,0.216,0.5,13.6,73.4,0.247
Brooklyn Nets,242.1,35.9,79.8,0.45,7.7,21.5,0.357,28.2,58.3,0.484,17.5,23.9,0.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,2013,28.6,49.0,33.0,46,36,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174
Boston Celtics,244.9,37.0,79.7,0.465,6.1,17.2,0.358,30.9,62.6,0.494,16.3,21.0,0.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,2013,29.1,41.0,40.0,40,41,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216
Cleveland Cavaliers,240.6,36.5,84.2,0.434,6.7,19.3,0.346,29.8,64.9,0.46,16.8,22.3,0.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,96.5,2013,24.1,24.0,58.0,28,54,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225
Minnesota Timberwolves,240.6,35.9,81.7,0.439,5.5,18.0,0.305,30.4,63.7,0.477,18.5,24.9,0.742,11.9,30.2,42.0,22.4,8.5,4.7,14.8,18.4,95.7,2013,26.4,31.0,51.0,34,48,-2.37,0.54,-1.83,102.9,105.4,-2.5,92.8,0.305,0.22,0.516,0.473,13.8,27.4,0.226,0.511,15.0,74.0,0.187
Phoenix Suns,241.5,37.3,84.4,0.443,5.9,17.7,0.33,31.5,66.6,0.473,14.7,19.7,0.744,11.7,29.9,41.6,22.6,8.0,5.3,15.6,20.6,95.2,2013,26.9,25.0,57.0,23,59,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208
Detroit Pistons,241.5,36.3,81.0,0.449,6.3,17.6,0.356,30.1,63.4,0.474,15.9,22.8,0.699,12.1,30.0,42.1,21.2,7.0,4.9,15.1,19.8,94.9,2013,25.3,29.0,53.0,29,53,-3.99,-0.34,-4.33,103.8,108.1,-4.3,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73.0,0.209
Indiana Pacers,241.9,35.1,80.6,0.436,6.9,19.7,0.347,28.3,60.8,0.465,17.6,23.6,0.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,2013,25.7,49.0,32.0,52,29,4.02,-0.69,3.34,104.3,99.8,4.5,90.2,0.293,0.245,0.521,0.479,14.3,30.3,0.219,0.453,12.9,74.6,0.197
New Orleans Hornets,241.2,36.0,80.4,0.448,6.5,18.0,0.363,29.5,62.4,0.473,15.5,20.0,0.776,12.0,29.6,41.6,21.0,6.3,5.4,14.5,20.4,94.1,2013,24.0,27.0,55.0,30,52,-3.87,0.75,-3.12,105.7,110.1,-4.4,88.5,0.248,0.224,0.528,0.489,14.0,29.2,0.193,0.52,13.1,74.4,0.208
Orlando Magic,241.2,37.7,84.2,0.448,6.2,18.7,0.329,31.5,65.5,0.482,12.5,16.6,0.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,2013,24.6,20.0,62.0,22,60,-6.99,-0.14,-7.12,101.6,109.1,-7.5,92.2,0.197,0.223,0.514,0.485,13.7,25.4,0.149,0.508,11.8,74.6,0.195
